cond,cosine,dataset,group,probe,scene,state,value
clean,"cos(g_rkd_sh_a,g_couple)",7scenes,cam_token,probe1,office,theta0,-0.47532135248184204
clean,"cos(g_rkd_sh_a,g_rel_rot)",7scenes,cam_token,probe1,office,theta0,-0.33081871271133423
clean,"cos(g_rkd_sh_a,g_rel_tdir)",7scenes,cam_token,probe1,office,theta0,0.9806344509124756
clean,"cos(g_couple,g_rel_rot)",7scenes,cam_token,probe1,office,theta0,0.19634923338890076
clean,"cos(g_couple,g_rel_tdir)",7scenes,cam_token,probe1,office,theta0,-0.32811856269836426
clean,"cos(g_rel_rot,g_rel_tdir)",7scenes,cam_token,probe1,office,theta0,-0.3823523223400116
clean,"cos(g_maskdistill,g_rkd_sh_d)",7scenes,ALL,probe1,office,theta0,-0.30436083674430847
clean,"cos(g_maskdistill,g_rkd_sh_a)",7scenes,ALL,probe1,office,theta0,-0.6754872798919678
clean,"cos(g_maskdistill,g_couple)",7scenes,ALL,probe1,office,theta0,0.6674710512161255
clean,"cos(g_maskdistill,g_rel_rot)",7scenes,ALL,probe1,office,theta0,0.5283510088920593
clean,"cos(g_maskdistill,g_rel_tdir)",7scenes,ALL,probe1,office,theta0,-0.5893615484237671
clean,"cos(g_rkd_sh_d,g_rkd_sh_a)",7scenes,ALL,probe1,office,theta0,0.7989966869354248
clean,"cos(g_rkd_sh_d,g_couple)",7scenes,ALL,probe1,office,theta0,0.1379518210887909
clean,"cos(g_rkd_sh_d,g_rel_rot)",7scenes,ALL,probe1,office,theta0,-0.5862066149711609
clean,"cos(g_rkd_sh_d,g_rel_tdir)",7scenes,ALL,probe1,office,theta0,0.896504819393158
clean,"cos(g_rkd_sh_a,g_couple)",7scenes,ALL,probe1,office,theta0,-0.471064954996109
clean,"cos(g_rkd_sh_a,g_rel_rot)",7scenes,ALL,probe1,office,theta0,-0.7662340402603149
clean,"cos(g_rkd_sh_a,g_rel_tdir)",7scenes,ALL,probe1,office,theta0,0.9795976877212524
clean,"cos(g_couple,g_rel_rot)",7scenes,ALL,probe1,office,theta0,0.46715080738067627
clean,"cos(g_couple,g_rel_tdir)",7scenes,ALL,probe1,office,theta0,-0.3055739402770996
clean,"cos(g_rel_rot,g_rel_tdir)",7scenes,ALL,probe1,office,theta0,-0.7731262445449829
clean,"cos(g_rel_rot,g_base)",7scenes,lora_early,probe1,office,theta0,-0.7159966230392456
clean,"cos(g_rel_tdir,g_base)",7scenes,lora_early,probe1,office,theta0,0.9558767080307007
clean,"cos(g_rel_rot,g_base)",7scenes,lora_late,probe1,office,theta0,0.12241939455270767
clean,"cos(g_rel_tdir,g_base)",7scenes,lora_late,probe1,office,theta0,0.9308374524116516
clean,"cos(g_rel_rot,g_base)",7scenes,cam_token,probe1,office,theta0,-0.442086786031723
clean,"cos(g_rel_tdir,g_base)",7scenes,cam_token,probe1,office,theta0,0.8605483770370483
clean,"cos(g_rel_rot,g_base)",7scenes,ALL,probe1,office,theta0,-0.6595660448074341
clean,"cos(g_rel_tdir,g_base)",7scenes,ALL,probe1,office,theta0,0.9484964609146118
clean,loss[maskdistill],7scenes,-,probe1,office,theta0,0.059260472655296326
clean,loss[rkd_sh_d],7scenes,-,probe1,office,theta0,0.010853080078959465
clean,loss[rkd_sh_a],7scenes,-,probe1,office,theta0,0.030961250886321068
clean,loss[couple],7scenes,-,probe1,office,theta0,0.00978897325694561
clean,loss[rel_rot],7scenes,-,probe1,office,theta0,0.006595425307750702
clean,loss[rel_tdir],7scenes,-,probe1,office,theta0,0.04674743860960007
m0,"cos(g_maskdistill,g_rkd_sh_d)",7scenes,lora_early,probe1,office,theta0,-0.5080876350402832
m0,"cos(g_maskdistill,g_rkd_sh_a)",7scenes,lora_early,probe1,office,theta0,-0.1327522248029709
m0,"cos(g_maskdistill,g_couple)",7scenes,lora_early,probe1,office,theta0,-0.4994947910308838
m0,"cos(g_maskdistill,g_rel_rot)",7scenes,lora_early,probe1,office,theta0,0.8528662919998169
m0,"cos(g_maskdistill,g_rel_tdir)",7scenes,lora_early,probe1,office,theta0,0.4407123625278473
m0,"cos(g_rkd_sh_d,g_rkd_sh_a)",7scenes,lora_early,probe1,office,theta0,0.6852817535400391
m0,"cos(g_rkd_sh_d,g_couple)",7scenes,lora_early,probe1,office,theta0,0.40960198640823364
m0,"cos(g_rkd_sh_d,g_rel_rot)",7scenes,lora_early,probe1,office,theta0,-0.4394957423210144
m0,"cos(g_rkd_sh_d,g_rel_tdir)",7scenes,lora_early,probe1,office,theta0,0.1246829703450203
m0,"cos(g_rkd_sh_a,g_couple)",7scenes,lora_early,probe1,office,theta0,-0.33746060729026794
m0,"cos(g_rkd_sh_a,g_rel_rot)",7scenes,lora_early,probe1,office,theta0,0.02700752392411232
m0,"cos(g_rkd_sh_a,g_rel_tdir)",7scenes,lora_early,probe1,office,theta0,0.7277431488037109
m0,"cos(g_couple,g_rel_rot)",7scenes,lora_early,probe1,office,theta0,-0.5858335494995117
m0,"cos(g_couple,g_rel_tdir)",7scenes,lora_early,probe1,office,theta0,-0.7401906847953796
m0,"cos(g_rel_rot,g_rel_tdir)",7scenes,lora_early,probe1,office,theta0,0.6577494740486145
m0,"cos(g_maskdistill,g_rkd_sh_d)",7scenes,lora_late,probe1,office,theta0,-0.37447744607925415
m0,"cos(g_maskdistill,g_rkd_sh_a)",7scenes,lora_late,probe1,office,theta0,0.0831867977976799
m0,"cos(g_maskdistill,g_couple)",7scenes,lora_late,probe1,office,theta0,-0.611914873123169
m0,"cos(g_maskdistill,g_rel_rot)",7scenes,lora_late,probe1,office,theta0,0.8158178329467773
m0,"cos(g_maskdistill,g_rel_tdir)",7scenes,lora_late,probe1,office,theta0,0.5424357652664185
m0,"cos(g_rkd_sh_d,g_rkd_sh_a)",7scenes,lora_late,probe1,office,theta0,0.7183492183685303
m0,"cos(g_rkd_sh_d,g_couple)",7scenes,lora_late,probe1,office,theta0,0.3689737617969513
m0,"cos(g_rkd_sh_d,g_rel_rot)",7scenes,lora_late,probe1,office,theta0,-0.3046291172504425
m0,"cos(g_rkd_sh_d,g_rel_tdir)",7scenes,lora_late,probe1,office,theta0,0.24640899896621704
